,ML
2021-07-25 22:00:00,0.7474160263931418
2021-07-25 23:00:00,0.6847955051787946
2021-07-26 00:00:00,0.8171210934605503
2021-07-26 01:00:00,0.8390165629437288
2021-07-26 02:00:00,0.865290994788719
2021-07-26 03:00:00,0.8880196733504805
2021-07-26 04:00:00,0.8945550355118203
2021-07-26 05:00:00,0.8938321762204663
2021-07-26 06:00:00,0.8795157785699307
2021-07-26 07:00:00,0.8548552499046961
2021-07-26 08:00:00,0.8273204568826998
2021-07-26 09:00:00,0.8044267905694057
2021-07-26 10:00:00,0.7721937385498653
2021-07-26 11:00:00,0.7415247067153995
2021-07-26 12:00:00,0.662659170151093
2021-07-26 13:00:00,0.6488062642631739
2021-07-26 14:00:00,0.638935727426641
2021-07-26 15:00:00,0.6356436933008015
2021-07-26 16:00:00,0.6330592248378791
2021-07-26 17:00:00,0.6616861328464944
2021-07-26 18:00:00,0.664176311509652
2021-07-26 19:00:00,0.6722002814824375
2021-07-26 20:00:00,0.6763353347155275
2021-07-26 21:00:00,0.6765876105786828
2021-07-26 22:00:00,0.6783895217042679
2021-07-26 23:00:00,0.6720111565290505
2021-07-27 00:00:00,0.7306994083109167
2021-07-27 01:00:00,0.7301213803398744
2021-07-27 02:00:00,0.7259625753926077
2021-07-27 03:00:00,0.7222230208742886
2021-07-27 04:00:00,0.7168811911653084
2021-07-27 05:00:00,0.7090618963913432
2021-07-27 06:00:00,0.7031282022062463
2021-07-27 07:00:00,0.6960709650509074
2021-07-27 08:00:00,0.6857608299114075
2021-07-27 09:00:00,0.6788698101401709
2021-07-27 10:00:00,0.6714988167598085
2021-07-27 11:00:00,0.6688690313957678
2021-07-27 12:00:00,0.7116694841483501
2021-07-27 13:00:00,0.7212691319756028
2021-07-27 14:00:00,0.7290083444723413
2021-07-27 15:00:00,0.7335080641991306
2021-07-27 16:00:00,0.7353537619909226
2021-07-27 17:00:00,0.7351648736353212
2021-07-27 18:00:00,0.734757370106513
2021-07-27 19:00:00,0.7274563609166455
2021-07-27 20:00:00,0.7291226915635098
2021-07-27 21:00:00,0.7412250490575135
2021-07-27 22:00:00,0.7580452196549778
2021-07-27 23:00:00,0.7834746512416148
2021-07-28 00:00:00,0.7695993439436747
2021-07-28 01:00:00,0.7825214594414284
2021-07-28 02:00:00,0.7905252968454771
2021-07-28 03:00:00,1.2172330996646228
2021-07-28 04:00:00,1.2039052049497863
2021-07-28 05:00:00,1.1873284665454198
2021-07-28 06:00:00,0.8001605883702964
2021-07-28 07:00:00,0.7975552449251794
2021-07-28 08:00:00,1.2016715858674283
2021-07-28 09:00:00,1.128332132250985
2021-07-28 10:00:00,1.1070476688086124
2021-07-28 11:00:00,1.0944469903643779
2021-07-28 12:00:00,0.9994713808026822
2021-07-28 13:00:00,1.0148425430882324
2021-07-28 14:00:00,1.0052608837614372
2021-07-28 15:00:00,0.9575139769249276
2021-07-28 16:00:00,0.9401948969475477
2021-07-28 17:00:00,0.9279428004177989
2021-07-28 18:00:00,0.99393865007156
2021-07-28 19:00:00,1.023007005905211
2021-07-28 20:00:00,1.0506028640993292
2021-07-28 21:00:00,1.1918526359778088
2021-07-28 22:00:00,1.1694767468127185
2021-07-28 23:00:00,1.1011160469117758
2021-07-29 00:00:00,1.1519633573870873
2021-07-29 01:00:00,1.2115481585782044
2021-07-29 02:00:00,1.1691584743389236
2021-07-29 03:00:00,1.0840319737453987
2021-07-29 04:00:00,1.0494471146983877
2021-07-29 05:00:00,1.0366628722962863
2021-07-29 06:00:00,0.9970744837108224
2021-07-29 07:00:00,0.9811663827504299
2021-07-29 08:00:00,0.9481017708062579
2021-07-29 09:00:00,0.9168409101491996
2021-07-29 10:00:00,0.8901595098960741
2021-07-29 11:00:00,0.8422301122070411
2021-07-29 12:00:00,0.8163717932500542
2021-07-29 13:00:00,0.8329597248183233
2021-07-29 14:00:00,0.8447060568708883
2021-07-29 15:00:00,0.849076964503033
2021-07-29 16:00:00,0.4374245566134489
2021-07-29 17:00:00,0.4957909520639424
2021-07-29 18:00:00,0.5843659858869809
2021-07-29 19:00:00,0.7977598958539501
2021-07-29 20:00:00,0.8241296560094392
2021-07-29 21:00:00,0.8698703278726384
2021-07-29 22:00:00,0.8849295789266042
2021-07-29 23:00:00,0.8773117314185664
2021-07-30 00:00:00,0.8323480312615216
2021-07-30 01:00:00,0.8199065723088158
2021-07-30 02:00:00,0.804073583215981
2021-07-30 03:00:00,0.8023497275596937
2021-07-30 04:00:00,0.7827034780086112
2021-07-30 05:00:00,0.7534493465501956
2021-07-30 06:00:00,0.7322039597551769
2021-07-30 07:00:00,0.7140922803258586
2021-07-30 08:00:00,0.7170121472348489
2021-07-30 09:00:00,0.7108462348788372
2021-07-30 10:00:00,0.7051053175147385
2021-07-30 11:00:00,0.6977525969054078
2021-07-30 12:00:00,0.7242332983294176
2021-07-30 13:00:00,0.7081262690633496
2021-07-30 14:00:00,0.7020454918226618
2021-07-30 15:00:00,0.6999652090722256
2021-07-30 16:00:00,0.6962035263836365
2021-07-30 17:00:00,0.702234497231064
2021-07-30 18:00:00,0.670117523530159
